filename	imageID	brightness_median	brightness_stdev	saturation_median	saturation_stdev	hue_median	hue_stdev
1.png	1	0	0.04049	0	10.3258	0	3.4419
101.png	2	23	37.3863	155	43.7371	20	68.9309
1024.png	3	126	53.727	104	53.9662	18	44.6316
1026.png	4	95	59.4214	160	66.6047	30	54.601
1029.png	5	145	53.6118	133	56.1453	21	37.9352
1034.png	6	98	57.1723	184	68.8595	31	68.8959
1036.png	7	111	50.6863	181	69.8318	31	67.5098
1041.png	8	95	50.9172	171	70.2242	31	72.3975
1044.png	9	102	50.2608	176	71.4469	31	69.7497
1048.png	10	105	50.9948	184	68.6594	31	64.5346
105.png	11	23	37.24	155	42.7117	20	66.9689
1051.png	12	160	53.3907	139	58.5537	25	37.6207
1054.png	13	117	57.2901	109	54.0278	18	51.212
107.png	14	24	39.0212	153	43.6742	20	68.9494
110.png	15	23	38.9659	154	43.5355	20	66.3184
1111.png	16	33	46.8534	170	64.2909	25	88.7767
1113.png	17	27	44.0868	170	60.7068	40	91.7745
1116.png	18	31	40.9495	174	63.1824	25	90.8783
1118.png	19	20	48.8278	153	57.3483	154	87.5336
112.png	20	23	38.8428	154	44.4919	20	67.5046
1131.png	21	46	49.2145	91	60.5709	99	60.4688
1133.png	22	107	50.751	79	46.1788	50	50.8605
1135.png	23	152	69.5616	54	56.2571	49	44.9045
1139.png	24	87	49.3635	82	46.9316	29	51.0541
1141.png	25	97	51.6065	80	65.2944	80	52.9998
1143.png	26	112	51.4803	74	51.5158	58	49.237
1146.png	27	68	44.8829	76	74.4497	99	46.0256
1149.png	28	62	53.8912	110	70.168	112	58.0708
115.png	29	17	39.5378	160	47.526	21	89.018
1151.png	30	63	47.4735	112	60.385	75	63.9035
1153.png	31	52	50.5728	108	68.5229	106	63.4784
1155.png	32	108	61.3461	76	69.7278	72	56.0519
1156.png	33	76	58.2369	88	82.3598	116	55.0275
1159.png	34	77	54.0173	104	69.1881	100	58.3058
116.png	35	17	39.7844	159	47.7788	21	88.5968
1161.png	36	76	52.9849	91	68.481	30	53.1517
1163.png	37	129	53.2774	43	44.3058	44	37.5043
1165.png	38	120	61.2949	60	41.6826	34	44.3293
1166.png	39	70	48.6953	97	57.9745	31	65.635
1168.png	40	66	43.6436	96	55.021	28	56.5401
1172.png	41	110	65.0618	49	41.2907	41	34.0009
1175.png	42	136	50.4839	47	55.0644	93	53.1759
1178.png	43	83	52.1381	98	52.9154	109	48.8933
1180.png	44	103	46.4138	86	56.0929	49	50.7592
1182.png	45	112	61.8796	49	53.793	45	36.0409
1184.png	46	90	50.8036	99	48.4647	40	46.8854
1186.png	47	97	55.1693	62	51.7888	40	36.6082
1189.png	48	102	61.7249	63	49.698	44	39.6478
119.png	49	17	42.3149	162	47.1872	21	91.0101
1192.png	50	63	47.4105	115	58.0812	118	54.6689
1194.png	51	65	48.0526	109	63.9589	116	50.4961
1196.png	52	86	44.3276	100	51.4907	29	48.8809
1197.png	53	73	45.7716	103	54.1822	27	41.2982
1199.png	54	49	54.3118	180	61.5117	147	81.475
1202.png	55	47	46.0806	122	58.3225	126	53.4358
1204.png	56	83	45.3321	88	47.2031	112	51.74
1205.png	57	83	46.2888	92	50.8365	105	51.0785
121.png	58	17	40.018	160	47.5114	22	90.9446
1229.png	59	63	36.3469	255	2.9667	2	49.5936
123.png	60	18	43.0461	162	44.6036	21	92.2238
1230.png	61	94	47.6105	255	2.5373	0	47.9867
1233.png	62	70	44.6487	255	2.8003	0	58.6634
1238.png	63	67	39.1633	255	2.4218	2	43.2531
1240.png	64	69	37.9294	255	2.6598	1	41.3549
1242.png	65	70	38.4566	255	2.6716	1	40.0881
1246.png	66	68	39.2326	255	2.6729	1	36.1057
1248.png	67	69	38.5717	255	2.574	1	34.82
1253.png	68	69	40.0905	255	2.5521	0	41.4403
1258.png	69	70	37.5547	255	2.2772	1	27.2914
1259.png	70	65	38.6972	255	2.6524	2	44.342
1261.png	71	65	38.3605	255	2.4835	2	40.7316
1265.png	72	76	41.1575	255	1.9432	0	37.0006
127.png	73	18	42.7962	162	42.5063	21	92.6966
1270.png	74	127	52.1746	255	1.8794	0	38.7258
1274.png	75	66	41.8667	255	2.6784	2	49.1598
1277.png	76	66	38.9885	255	2.4146	2	40.219
1283.png	77	66	38.9338	255	2.8895	2	46.0315
130.png	78	11	50.2062	183	45.7449	174	95.5011
133.png	79	11	43.3957	178	50.8789	174	91.4688
1359.png	80	32	68.3526	255	63.1205	10	40.3901
1361.png	81	47	36.6378	255	53.7993	11	36.0162
1365.png	82	54	48.53	250	54.8912	11	45.1434
1368.png	83	45	40.33	255	32.5808	9	43.5868
137.png	84	11	41.4453	178	51.7931	174	89.8891
1370.png	85	47	41.9811	255	32.7651	10	35.4792
1375.png	86	48	41.9632	255	30.7239	11	28.8228
1377.png	87	52	44.0898	255	33.1551	11	27.9103
1379.png	88	41	40.0149	255	30.3311	8	30.0409
1383.png	89	47	39.4909	255	30.4721	10	31.8115
1388.png	90	53	43.1337	255	53.62	12	35.7956
139.png	91	11	41.3156	178	52.0938	174	88.9357
1391.png	92	56	38.1772	255	27.5373	11	24.1674
1393.png	93	59	39.6925	255	26.8218	11	23.3964
1396.png	94	48	40.9209	252	44.1764	12	47.2529
1399.png	95	61	37.1692	255	24.0756	11	18.6077
1402.png	96	65	39.4458	250	29.2215	12	15.8747
1405.png	97	58	36.9658	252	34.3275	12	20.2869
1407.png	98	54	39.3721	255	32.9565	11	25.399
141.png	99	11	40.3728	179	49.3693	174	89.6996
1410.png	100	51	36.5127	255	28.6365	10	25.7109
1413.png	101	52	39.1331	255	28.6754	10	21.5106
1415.png	102	55	40.516	255	27.075	10	20.2485
1416.png	103	52	38.8174	255	25.5482	10	20.9249
1421.png	104	55	38.1422	255	28.2875	11	13.1854
143.png	105	15	37.6504	139	47.4874	191	97.8278
1433.png	106	60	37.9133	255	29.739	12	24.5066
1435.png	107	59	37.9952	255	28.6702	11	14.9092
1438.png	108	56	39.5374	255	28.7262	11	19.5263
144.png	109	15	37.8085	144	48.7837	185	97.6578
1440.png	110	55	39.1288	255	29.5202	11	17.9581
1442.png	111	59	36.414	255	26.2802	12	23.445
1453.png	112	23	24.3846	229	48.2059	160	49.7434
1459.png	113	48	43.8448	245	50.1502	131	40.3624
1461.png	114	51	40.2689	255	45.1981	119	19.315
